BN/Registration Number,Designation code,Category code,Category,Sub-category code,Sub-Category,Legal name,Account name,Registration date,Language,Mailing address,City,Province,Postal code,Country,Contact Phone,Contact Email,Contact URL
105428023RR0001,C,1,Organizations Relieving Poverty,99,Other,DAWSON HEIGHTS HOUSING LTD.,DAWSON HEIGHTS HOUSING LTD.,1996-01-01 0:00,1,3710 CEDAR HILL RD,VICTORIA,BC,V8P5V5,CA,(250)477-4850,SENIORS@DAWSONHEIGHTS.CA,www.dawsonheights.ca
105629497RR0001,C,110,Supportive Health Care,99,Other,FAMILY SUPPORT INSTITUTE OF BC SOCIETY,Family Support Institute of BC Society,1990-01-23 0:00,1,227 6TH ST,NEW WESTMINSTER,BC,V3L3A5,CA,(604)540-8374,fsi@fsibc.com,www.familysupportbc.com
106685571RR0001,C,1,Organizations Relieving Poverty,99,Other,ADLERIAN PSYCHOLOGY ASSOCIATION OF BRITISH COLUMIBA,ADLERIAN PSYCHOLOGY ASSOCIATION OF BRITISH COLUMBIA,1983-01-01 0:00,1,440 - 2184 BROADWAY W,VANCOUVER,BC,V6K2E1,CA,(604)742-1818,APABC@ADLER.BC.CA,WWW.ADLERCENTRE.CA
106687882RR0001,C,200,Public Amenities,99,Other,AGASSIZ-HARRISON HISTORICAL SOCIETY,AGASSIZ-HARRISON HISTORICAL SOCIETY,1984-03-01 0:00,1,PO BOX 313,AGASSIZ,BC,V0M1A0,CA,(604)796-3545,AGASSIZ-HARISSONMUSEUM@SHAW.BRC.CA,WWW.AGASSIZHARRISONMUSEUM.ORG
106689896RR0001,C,100,Core Health Care,99,Other,VANCOUVER AIDS SOCIETY,VANCOUVER AIDS SOCIETY,1995-12-16 0:00,1,401 - 1101 SEYMOUR ST,VANCOUVER,BC,V6B0R1,CA,(604)893-2201,CONTACT@AIDSVANCOUVER.ORG,WWW.AIDSVANCOUVER.ORG
106691876RR0001,C,100,Core Health Care,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",ALANO CLUB OF VANCOUVER,ALANO CLUB OF VANCOUVER,1989-05-30 0:00,1,1525 WEST 7TH AVE,VANCOUVER,BC,V6J1S1,CA,(604)736-5109,VANALANO@SHAW.CA,
106692361RR0001,C,100,Core Health Care,99,Other,PORT ALBERNI ASSOCIATION FOR COMMUNITY LIVING,PORT ALBERNI ASSOCIATION FOR COMMUNITY LIVING,1996-03-23 0:00,1,3008-2ND AVENUE,PORT ALBERNI,BC,V9Y1Y9,CA,,,PAACL.CA
106706047RR0001,C,1,Organizations Relieving Poverty,99,Other,AMATA TRANSITION HOUSE SOCIETY,AMATA TRANSITION HOUSE SOCIETY,1980-05-01 0:00,1,693 MCLEAN ST,QUESNEL,BC,V2J2P7,CA,,,
106708985RR0001,C,100,Core Health Care,99,Other,AMYOTROPHIC LATERAL SCLEROSIS SOCIETY OF BC,AMYOTROPHIC LATERAL SCLEROSIS SOCIETY OF BRITISH COLUMBIA,1981-12-17 0:00,1,1233-13351 COMMERCE PARKWAY,RICHMOND,BC,V6V2X7,CA,(604)278-4257,W.TOYER@ALSBC.CA,WWW.ALSBC.CA
106719917RR0001,C,160,Community Resource,99,Other,OPEN DOOR SOCIAL SERVICES SOCIETY,OPEN DOOR SOCIAL SERVICES SOCIETY,1976-05-01 0:00,1,900 - 1200 BURRARD ST,VANCOUVER,BC,V6Z2C7,CA,(604)872-0770,,WWW.THEOBC.ORG
106721921RR0001,C,100,Core Health Care,99,Other,KINDALE DEVELOPMENTAL ASSOCIATION,KINDALE DEVELOPMENTAL ASSOCIATION,1989-03-05 0:00,1,BOX 94,ARMSTRONG,BC,V0E1B0,CA,(250)546-3005,ACCOUNTING@KINDALE.NET,WWW.KINDALE.NET
106722044RR0001,C,200,Public Amenities,99,Other,ARMSTRONG SPALLUMCHEEN MUSEUM AND ARTS SOCIETY,ARMSTRONG SPALLUMCHEEN MUSEUM AND ARTS SOCIETY,1978-07-26 0:00,1,PO BOX 308,ARMSTRONG,BC,V0E1B0,CA,,,
106723273RR0001,C,200,Public Amenities,9,Providing low-cost housing,ARROW LAKES HISTORICAL SOCIETY,ARROW LAKES HISTORICAL SOCIETY,1985-04-02 0:00,1,PO 819,NAKUSP,BC,V0G1R0,CA,(250)265-0110,ALHS1234@TELUS.NET,ALHS-ARCHIVES.COM
106723331RR0001,C,1,Organizations Relieving Poverty,99,Other,ARROWSMITH HEALTH CARE (2011) SOCIETY,ARROWSMITH REST HOME SOCIETY,1969-05-26 0:00,1,266B MOILLIET ST,PARKSVILLE,BC,V9P1M9,CA,,,
106732969RR0001,C,1,Organizations Relieving Poverty,99,Other,ASSOCIATION OF NEIGHBOURHOOD HOUSES OF BRITISH COLUMBIA,ASSOCIATION OF NEIGHBOURHOOD HOUSES OF BRITISH COLUMBIA,1967-01-01 0:00,1,203-3102 MAIN ST,VANCOUVER,BC,V5T3G7,CA,(604)875-9111,CENTRAL@ANHBC.ORG,WWW.ANHBC.ORG
106735129RR0001,C,200,Public Amenities,9,Providing low-cost housing,ATCHELITZ THRESHERMENS ASSOCIATION,ATCHELITZ THRESHERMENS ASSOCIATION,1983-01-31 0:00,1,44146 LUCKAKUCK WAY,CHILLIWACK,BC,V2R4A7,CA,,,
106736101RR0001,C,1,Organizations Relieving Poverty,99,Other,ATIRA WOMEN'S RESOURCE SOCIETY,ATIRA WOMEN'S RESOURCE SOCIETY,1983-03-10 0:00,1,201 - 190 ALEXANDER ST,VANCOUVER,BC,V6A1B5,CA,(604)331-1407,INFO@ATIRA.BC.CA,WWW.ATIRA.BC.CA
106771686RR0001,C,1,Organizations Relieving Poverty,99,Other,THE BAPTIST HOUSING MINISTRIES SOCIETY,THE BAPTIST HOUSING MINISTRIES SOCIETY,1982-10-26 0:00,1,125 - 6165 17A HWY,DELTA,BC,V4K5B8,CA,,,
106773740RR0001,C,200,Public Amenities,9,Providing low-cost housing,BARRIERE AND DISTRICT HERITAGE SOCIETY,BARRIERE AND DISTRICT HERITAGE SOCIETY,1985-01-01 0:00,1,BOX 228,BARRIERE,BC,V0E1E0,CA,(250)672-5583,IWADLAND@GMAIL.COM,
106777758RR0001,C,100,Core Health Care,99,Other,DISABILITY ALLIANCE BC SOCIETY,DISABILITY ALLIANCE BC SOCIETY,1982-01-01 0:00,1,1450 - 605 ROBSON ST,VANCOUVER,BC,V6B5J3,CA,,,
106777873RR0001,C,200,Public Amenities,99,Other,BRITISH COLUMBIA COURTHOUSE LIBRARY SOCIETY,BRITISH COLUMBIA COURTHOUSE LIBRARY SOCIETY,1978-01-01 0:00,1,800 SMITHE ST,VANCOUVER,BC,V6Z2E1,CA,(604)660-2910,ACCOUNTING@COURTHOUSELIBRARY.CA,WWW.COURTHOUSELIBRARY.CA
106778079RR0001,C,1,Organizations Relieving Poverty,99,Other,BC FOSTER PARENTS ASSOCIATION,B.C. FEDERATION OF FOSTER PARENT ASSOCIATIONS,1974-04-01 0:00,1,208-20641 LOGAN AVE,LANGLEY,BC,V3A7R3,CA,(604)544-1116,OFFICE@BCFOSTERPARENTS.CA,BCFOSTERPARENTS.CA
106778129RR0001,C,100,Core Health Care,14,Providing work related clothing / career development tools / work integration (resume writing / interview tips),MENTAL HEALTH RECOVERY PARTNERS SOCIETY - SOUTH VANCOUVER ISLAND,MENTAL HEALTH RECOVERY PARTNERS SOCIETY - SOUTH VANCOUVER ISLAND,1986-01-01 0:00,1,941 KINGS ROAD,VICTORIA,BC,V8T1W7,CA,(250)384-4225,ADMIN.BCSS@SHAW.CA,www.mhrp.ca
106778780RR0001,C,1,Organizations Relieving Poverty,99,Other,PARENTS SUPPORT SERVICES SOCIETY OF BC,PARENT SUPPORT SERVICES SOCIETY OF BC,1977-01-01 0:00,1,204-5623 IMPERIAL ST,BURNABY,BC,V5J1G1,CA,(604)669-1616,OFFICE@PARENTSUPPORTBC.CA,WWW.PARENTSUPPORTBC.CA
106780976RR0001,C,100,Core Health Care,99,Other,SOUTHERN OKANAGAN ASSOCIATION FOR INTEGRATED COMMUNITY LIVING,SOUTHERN OKANAGAN ASSOCIATION FOR INTEGRATED COMMUNITY LIVING,1979-12-29 0:00,1,PO BOX 138,OLIVER,BC,V0H1T0,CA,(250)498-0309,,
106781172RR0001,C,200,Public Amenities,99,Other,BEAVER VALLEY PUBLIC LIBRARY,BEAVER VALLEY PUBLIC LIBRARY,1975-01-01 0:00,1,BOX 429,FRUITVALE,BC,V0G1L0,CA,,,
106782642RR0002,C,200,Public Amenities,12,Providing household items (furniture / appliances),BELLA COOLA VALLEY MUSEUM SOCIETY,BELLA COOLA VALLEY MUSEUM SOCIETY,2004-08-03 0:00,1,BOX 726,BELLA COOLA,BC,V0T1C0,CA,(250)982-2130,LDISHKIN@GMAIL.COM,WWW.BELLACOOLAMUSEUM.CA
106790421RR0001,C,160,Community Resource,99,Other,BETH TIKVAH CONGREGATION AND CENTRE ASSOCIATION,BETH TIKVAH CONGREGATION & CENTRE ASSOCIATION,1972-01-01 0:00,1,9711 GEAL ROAD,RICHMOND,BC,V7E1R4,CA,(604)271-6262,INNA@BTIKVAH.CA,WWW.BTIKVAH.CA
106793458RR0001,C,1,Organizations Relieving Poverty,99,Other,BIG BROTHERS BIG SISTERS OF NORTHERN BC SOCIETY,BIG BROTHERS BIG SISTERS OF NORTHERN BC SOCIETY,1979-02-26 0:00,1,777 KINSMEN PL,PRINCE GEORGE,BC,V2M6Y7,CA,(250)563-7410,,
106793540RR0001,C,1,Organizations Relieving Poverty,99,Other,BIG BROTHERS & BIG SISTERS OF VICTORIA CAPITAL REGION,BIG BROTHERS AND BIG SISTERS OF VICTORIA CAPITAL REGION,1979-08-27 0:00,1,230 BAY ST.,VICTORIA,BC,V9A3K5,CA,(250)475-1117,,WWW.BBBSVICTORIA.COM
106793581RR0001,C,1,Organizations Relieving Poverty,99,Other,BIG BROTHERS BIG SISTERS OF THE FRASER VALLEY,Big Brothers Big Sisters of the Fraser Valley,1980-01-01 0:00,1,SUITE 200-2445 WEST RAILWAY ST,ABBOTSFORD,BC,V2S2E3,CA,(604)852-3331,CORINA.CARROLL@BIGBROTHERSBIGSISTERS.CA,WWW.MENTORINGWORKS.CA
106793722RR0001,C,1,Organizations Relieving Poverty,99,Other,BIG BROTHERS OF GREATER VANCOUVER,BIG BROTHERS OF GREATER VANCOUVER,1978-08-23 0:00,1,102-1193 KINGSWAY,VANCOUVER,BC,V5V3C9,CA,(604)876-2447,EYUNG@BBGVF.COM,WWW.BIGBROTHERSVANCOUVER.COM
106804016RR0001,C,1,Organizations Relieving Poverty,99,Other,BOYS AND GIRLS CLUBS OF CENTRAL VANCOUVER ISLAND,BOYS AND GIRLS CLUBS OF CENTRAL VANCOUVER ISLAND,1978-01-01 0:00,1,2290 BOWEN RD,NANAIMO,BC,V9T3K7,CA,,,
106804594RR0001,C,1,Organizations Relieving Poverty,99,Other,BOYS' & GIRLS' CLUB OF KAMLOOPS,BOYS' & GIRLS' CLUB OF KAMLOOPS,1967-01-01 0:00,1,150 WOOD ST,KAMLOOPS,BC,V2B0G6,CA,(250)554-5437,EXDIR@BGCKAMLOOPS.COM,WWW.BGCKAMLOOPS.COM
106805575RR0001,C,200,Public Amenities,12,Providing household items (furniture / appliances),BRALORNE-PIONEER MUSEUM SOCIETY,BRALORNE-PIONEER MUSEUM SOCIETY,2004-02-16 0:00,1,3767 LILLOOET-PIONEER HWY 40,BRALORNE,BC,V0K1P0,CA,(250)238-2349,BRALORNEPIONEERMUSEUM@GMAIL.COM,
106811896RR0001,C,200,Public Amenities,99,Other,BRITISH COLUMBIA FOREST MUSEUM,BRITISH COLUMBIA FOREST MUSEUM,1978-04-01 0:00,1,2892 DRINKWATER RD,DUNCAN,BC,V9L6C2,CA,(250)715-1113,INFO.BCFDC@SHAWLINK.CA,WWW.BCFORESTDISCOVERYCENTRE.COM
106811912RR0001,C,200,Public Amenities,9,Providing low-cost housing,FORED BC SOCIETY,FORED BC SOCIETY,1967-01-01 0:00,1,213 4438 WEST 10 AVE,VANCOUVER,BC,V6R4R8,CA,(604)737-8555,INFO@FOREDBC.ORG,WWW.LANDSCAPESMAG.COM
106811979RR0001,C,100,Core Health Care,99,Other,BRITISH COLUMBIA LUNG ASSOCIATION,BRITISH COLUMBIA LUNG ASSOCIATION,1967-01-01 0:00,1,2675 OAK STREET,VANCOUVER,BC,V6H2K2,CA,,,
106812019RR0001,C,100,Core Health Care,99,Other,INCLUSION BC SOCIETY,Inclusion BC Society,1967-01-01 0:00,1,227 SIXTH ST,NEW WESTMINSTER,BC,V3L3A5,CA,(604)777-9100,FPENG@INCLUSIONBC.ORG,WWW.INCLUSIONBC.ORG
106812183RR0001,C,200,Public Amenities,99,Other,H.R. MACMILLAN SPACE CENTRE SOCIETY,H.R. MACMILLAN SPACE CENTRE SOCIETY,1987-07-21 0:00,1,1100 CHESTNUT ST,VANCOUVER,BC,V6J3J9,CA,(604)738-7827,DIRECTOR@SPACECENTRE.CA,WWW.SPACECENTRE.CA
106817661RR0001,C,100,Core Health Care,99,Other,NORTHWEST CHILD DEVELOPMENT CENTRE SOCIETY,THE BULKLEY VALLEY CHILD DEVELOPMENT CENTRE SOCIETY,1983-04-01 0:00,1,BOX 995,SMITHERS,BC,V0J2N0,CA,(250)847-4122,director@bvcdc.ca,www.brcdc.ca
106819105RR0001,C,15,Foundations Advancing Education,2,Humanitarian assistance (outside of Canada),BURNABY ARTS COUNCIL,BURNABY ARTS COUNCIL,1973-07-30 0:00,1,6584 DEER LAKE AVENUE,BURNABY,BC,V5G3T7,CA,(604)298-7322,INFO@BURNABYARTSCOUNCIL.ORG,BURNABYARTSCOUNCIL.ORG
106819154RR0001,C,100,Core Health Care,99,Other,BURNABY ASSOCIATION FOR THE COMMUNITY INCLUSION,BURNABY ASSOCIATION FOR COMMUNITY INCLUSION,1967-01-01 0:00,1,130 - 4946 CANADA WAY,BURNABY,BC,V5G4H7,CA,,,
106819295RR0001,A,210,Foundations,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",BURNABY HOSPITAL FOUNDATION,BURNABY HOSPITAL FOUNDATION,1982-04-01 0:00,1,3935 KINCAID STREET,BURNABY,BC,V5G2X6,CA,(604)431-2881,,WWW.BHFOUNDATION.CA
106819345RR0001,C,1,Organizations Relieving Poverty,99,Other,BURNABY MEALS ON WHEELS SOCIETY,BURNABY MEALS ON WHEELS SOCIETY,1993-04-26 0:00,1,2055 ROSSER AVENUE,BURNABY,BC,V5C0H1,CA,,,
106819691RR0001,C,200,Public Amenities,99,Other,BURNS LAKE PUBLIC LIBRARY BOARD,BURNS LAKE PUBLIC LIBRARY ASSOCIATION,1975-01-01 0:00,1,BOX 449,BURNS LAKE,BC,V0J1E0,CA,(250)692-3192,MONIKA@BURNSLAKELIBRARY.COM,BURNSLAKE.BC.LIBRARIES.COOP
106819873RR0001,C,1,Organizations Relieving Poverty,99,Other,BURQUITLAM SENIOR HOUSING SOCIETY,BURQUITLAM SENIOR HOUSING SOCIETY,1996-01-01 0:00,1,560 AUSTIN AVE,COQUITLAM,BC,V3K3M9,CA,(604)936-8122,MANAGER@CHRISTMASMANOR.ORG,WWW.LJCHRISTMASMANOR.COM
106835002RR0001,C,1,Organizations Relieving Poverty,99,Other,CAMOSUN DAY CARE SOCIETY,CENTENNIAL DAY CARE SOCIETY,1990-09-01 0:00,1,106 - 740 HILLSIDE AVE,VICTORIA,BC,V8T1Z4,CA,(250)386-6832,CENTENNIALDAYCARE@GMAIL.COM,WWW.CENTENNIALDAYCARE.CA
106835259RR0001,C,160,Community Resource,99,Other,CAMPBELL RIVER AND NORTH ISLAND TRANSITION SOCIETY,CAMPBELL RIVER AND NORTH ISLAND TRANSITION SOCIETY,1987-06-18 0:00,1,101 - 1116 DOGWOOD ST,CAMPBELL RIVER,BC,V9W3A2,CA,(250)287-7384,AEH@ANNELMOREHOUSE.CA,ANNELMOREHOUSE.CA
106835374RR0001,C,200,Public Amenities,99,Other,THE CAMPBELL RIVER AND DISTRICT MUSEUM AND ARCHIVES SOCIETY,THE CAMPBELL RIVER AND DISTRICT MUSEUM AND ARCHIVES SOCIETY,1974-07-03 0:00,1,"470 ISLAND HWY, BOX 70, STN A",CAMPBELL RIVER,BC,V9W4Z9,CA,(250)287-3103,LDAVIS@ISLAND.NET,WWW.CRMUSEUM.CA
106836786RR0001,A,110,Supportive Health Care,99,Other,CANADA-CHINA CHILD HEALTH FOUNDATION,CANADA-CHINA CHILD HEALTH FOUNDATION,1987-06-25 0:00,1,113-990 BEACH AVE,VANCOUVER,BC,V6Z2N9,CA,(604)559-8151,R.HERD@HERDING.CA,
106846983RR0001,C,100,Core Health Care,14,Providing work related clothing / career development tools / work integration (resume writing / interview tips),"CANADIAN HEMOPHILIA SOCIETY,B.C. CHAPTER","CANADIAN HEMOPHILIA SOCIETY, B.C. CHAPTER",1986-01-01 0:00,1,"P.O. BOX 21161, MAPLE RIDGE SQUARE RPO",MAPLE RIDGE,BC,V2X1P7,CA,(604)688-8186,CONTACT@HEMOPHILIABC.CA,WWW.HEMOPHILIABC.CA
106863392RR0001,C,100,Core Health Care,99,Other,"CANADIAN MENTAL HEALTH ASSOCIATION, KELOWNA AND DISTRICT BRANCH",CANADIAN MENTAL HEALTH ASSOCIATION KELOWNA BRANCH,1967-01-01 0:00,1,504 SUTHERLAND AVE,KELOWNA,BC,V1Y5X1,CA,(250)861-3644,,WWW.KELOWNA.CMHA.BC.CA
106863731RR0001,C,100,Core Health Care,99,Other,"CANADIAN MENTAL HEALTH ASSOCIATION, VERNON AND DISTRICT BRANCH",CANADIAN MENTAL HEALTH ASSOCIATION VERNON AND DISTRICT BRANCH,1967-01-01 0:00,1,3100 28TH AVE,VERNON,BC,V1T1W3,CA,(250)542-3114,MELODY.IRMEN@CMHA.BC.CA,WWW.VERNON.CMHA.BC.CA
106863764RR0001,C,100,Core Health Care,99,Other,"CANADIAN MENTAL HEALTH ASSOCIATION, PORT ALBERNI BRANCH",CANADIAN MENTAL HEALTH ASSOCIATION PORT ALBERNI BRANCH,1992-11-21 0:00,1,3178-2ND AVE,PORT ALBERNI,BC,V9Y4C3,CA,(250)724-7199,,
106863905RR0001,C,100,Core Health Care,99,Other,PATHWAYS CLUBHOUSE SOCIETY OF RICHMOND,PATHWAYS CLUBHOUSE SOCIETY OF RICHMOND,1984-07-10 0:00,1,315 - 8111 GRANVILLE AVE,RICHMOND,BC,V6Y1P5,CA,(604)276-8834,DEBI.MCFETRIDGE@PATHWAYSCLUBHOUSE.COM,WWWW.PATHWAYSCLUBHOUSE.COM
106864143RR0001,C,100,Core Health Care,99,Other,"CANADIAN MENTAL HEALTH ASSOCIATION, NORTH AND WEST VANCOUVERBRANCH",CANADIAN MENTAL HEALTH ASSOCIATION NORTH AND WEST VANCOUVER BRANCH,1976-01-01 0:00,1,300 - 1835 LONSDALE AVE,NORTH VANCOUVER,BC,V7M2J8,CA,(604)987-6959,DONALD.JOHANSSON@CMHA.BC.CA,WWW.NORTHWESTVANCOUVER.CMHA.BC.CA
106864358RR0001,C,200,Public Amenities,99,Other,CANADIAN MUSEUM OF FLIGHT ASSOCIATION,CANADIAN MUSEUM OF FLIGHT ASSOCIATION,1977-03-25 0:00,1,5333 216 ST,LANGLEY,BC,V2Y2N3,CA,(604)532-0035,MANAGER-@CANADIANFLIGHT.ORG,WWW.CANADIANFLIGHT.ORG
106865835RR0001,C,1,Organizations Relieving Poverty,99,Other,CANADIAN RAMGARHIA SOCIETY,CANADIAN RAMGARHIA SOCIETY,1976-08-27 0:00,1,8365 140TH ST,SURREY,BC,V3W5K9,CA,(604)502-0602,PRESIDENT@RAMGARHIABC.COM,WWW.RAMGARHIABC.COM
106871411RR0001,C,160,Community Resource,99,Other,CAPILANO COMMUNITY SERVICES SOCIETY,CAPILANO COMMUNITY SERVICES SOCIETY,1978-04-01 0:00,1,600 WEST QUEENS ROAD,NORTH VANCOUVER,BC,V7N2L3,CA,(604)988-7115,JOANNE@CAPSERVICES.CA,WWW.CAPSERVICES.CA
106871726RR0001,C,100,Core Health Care,99,Other,ISLAND COMMUNITY MENTAL HEALTH ASSOCIATION,Island Community Mental Health Association,1969-04-29 0:00,1,125 SKINNER ROAD,VICTORIA,BC,V9A6X4,CA,,,
106878804RR0001,C,160,Community Resource,99,Other,CASTLEGAR & DISTRICT COMMUNITY SERVICES SOCIETY,THE CASTLEGAR AND DISTRICT COMMUNITY SERVICES SOCIETY,1984-04-01 0:00,1,1007 2ND ST,CASTLEGAR,BC,V1N1Y4,CA,,,
106878820RR0001,C,200,Public Amenities,9,Providing low-cost housing,CASTLEGAR AND DISTRICT HERITAGE SOCIETY,CASTLEGAR AND DISTRICT HERITAGE SOCIETY,1989-04-01 0:00,1,4 - 615 COLUMBIA AVE,CASTLEGAR,BC,V1N1G9,CA,(250)365-6440,,
106879950RR0003,C,1,Organizations Relieving Poverty,99,Other,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF VANCOUVER,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF VANCOUVER - MEN'S HOSTEL,1967-01-01 0:00,1,4885 SAINT JOHN PAUL II WAY,VANCOUVER,BC,V5Z0G3,CA,,,
106887441RR0001,A,210,Foundations,2,Humanitarian assistance (outside of Canada),UNITED WAY SOUTHERN INTERIOR BC,United Way Southern Interior BC,1967-01-01 0:00,1,4543 CANADA WAY,BURNABY,BC,V5G4T4,CA,(250)860-2356,ACCOUNTING@UNITEDWAYCSO.COM,www.unitedwaysibc.com
106904204RR0001,C,100,Core Health Care,99,Other,CEREBRAL PALSY ASSOCIATION OF BRITISH COLUMBIA,CEREBRAL PALSY ASSOCIATION OF BRITISH COLUMBIA,1967-01-01 0:00,1,330-409 GRANVILLE ST,VANCOUVER,BC,V6C1T2,CA,,,
106912439RR0001,C,200,Public Amenities,99,Other,CHETWYND PUBLIC LIBRARY ASSOCIATION,CHETWYND PUBLIC LIBRARY ASSOCIATION,1990-09-14 0:00,1,PO BOX 1420,CHETWYND,BC,V0C1J0,CA,(250)788-2559,,
106915283RR0001,C,160,Community Resource,99,Other,CHILLIWACK OPPORTUNITY SOCIETY,CHILLIWACK OPPORTUNITY SOCIETY,1997-10-01 0:00,1,10135 WILLIAMS ROAD,CHILLIWACK,BC,V2P5H3,CA,(604)795-9260,COS07@TELUS.NET,WWW.CHILLIWACKOPPORTUNITYSOCIETY.COM
106915606RR0001,C,200,Public Amenities,99,Other,THE CHINESE COMMUNITY LIBRARY SERVICES ASSOCIATION,CHINESE COMMUNITY LIBRARY SERVICES ASSOCIATION,1982-01-01 0:00,1,591 E PENDER ST,VANCOUVER,BC,V6A1V3,CA,(604)254-2107,CLIBRARY@GMAIL.COM,WWW.CHINESELIBRARY.ORG
106930126RR0001,C,1,Organizations Relieving Poverty,9,Providing low-cost housing,DUNCAN HOUSING SOCIETY,DUNCAN HOUSING SOCIETY,2002-01-01 0:00,1,280 FIRST ST,DUNCAN,BC,V9L4T3,CA,(250)748-0521,DUNCANMANOR@SHAW.CA,WWW.DUNCANMANOR.CA
106961683RR0001,C,1,Organizations Relieving Poverty,99,Other,COMMUNITY SOCIAL PLANNING COUNCIL OF GREATER VICTORIA,COMMUNITY SOCIAL PLANNING COUNCIL OF GREATER VICTORIA,1967-01-01 0:00,1,216 - 852 FORT ST,VICTORIA,BC,V8W1H8,CA,(250)383-6166,ADMIN.@COMMUNITYCOUNCIL.CA,WWW.COMMUNITYCOUNCIL.CA
106962897RR0001,C,160,Community Resource,99,Other,COMMUNITY LIVING SOCIETY,COMMUNITY LIVING SOCIETY,1978-04-01 0:00,1,7FLR - 713 COLUMBIA ST,NEW WESTMINSTER,BC,V3M1B2,CA,(604)523-0303,AMCQUEEN@COMMUNITYLIVINGSOCIETY.CA,WWW.COMMUNITYLIVINGSOCIETY.CA
106964034RR0001,C,100,Core Health Care,99,Other,COMOX VALLEY CHILD DEVELOPMENT ASSOCIATION,COMOX VALLEY CHILD DEVELOPMENT ASSOCIATION,1976-01-01 0:00,1,237-3RD STREET,COURTENAY,BC,V9N1E1,CA,,,
106964042RR0001,C,1,Organizations Relieving Poverty,99,Other,COMOX VALLEY CHILDREN'S DAY CARE SOCIETY,COMOX VALLEY CHILDREN'S DAY CARE SOCIETY,1984-01-01 0:00,1,1800 NOEL AVENUE,COMOX,BC,V9M2L1,CA,(250)339-3033,CVCDCS@ISLAND.NET,
