Farms reporting organic products for sale 8,Organic products for sale,,Certified organic products for sale,,Transitional organic products for sale,
"Central Kootenay D, British Columbia [CCS590403039]",4,4,3,3,1,1
"Central Kootenay E, British Columbia [CCS590403041]",2,2,1,2,1,0
"Central Kootenay G, British Columbia [CCS590403047]",0,2,0,1,0,1
"Central Kootenay H, British Columbia [CCS590403052]",6,8,5,6,2,2
"Central Kootenay J, British Columbia [CCS590403058]",2,6,2,5,0,1
"Central Kootenay K, British Columbia [CCS590403060]",2,1,2,1,0,0
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",3,2,3,1,0,1
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",9,9,8,8,1,1
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",2,3,1,3,1,0
"Cariboo D, British Columbia [CCS590541010]",0,1,0,1,0,0
"Cariboo E, British Columbia [CCS590541012]",0,0,0,0,0,0
"Cariboo F, British Columbia [CCS590541014]",2,2,2,1,0,1
"Cariboo G, British Columbia [CCS590541015]",1,1,1,1,0,0
"Cariboo H, British Columbia [CCS590541016]",1,0,0,0,1,0
"Cariboo L, British Columbia [CCS590541017]",0,0,0,0,0,0
"Cariboo A, British Columbia [CCS590541019]",0,0,0,0,0,0
"Cariboo B, British Columbia [CCS590541021]",0,0,0,0,0,0
"Cariboo C, British Columbia [CCS590541026]",1,0,0,0,1,0
"Cariboo I, British Columbia [CCS590541027]",1,1,1,0,0,1
"Cariboo J, British Columbia [CCS590541039]",0,1,0,1,0,0
"Cariboo K, British Columbia [CCS590541041]",3,2,3,2,0,0
"Fraser-Fort George H, British Columbia [CCS590553019]",2,4,2,4,0,0
"Fraser-Fort George A, British Columbia [CCS590553038]",1,1,1,1,0,0
"Fraser-Fort George C, British Columbia [CCS590553042]",1,1,1,1,0,0
"Fraser-Fort George D, British Columbia [CCS590553044]",2,1,1,1,1,0
"Fraser-Fort George E, British Columbia [CCS590553046]",0,1,0,0,0,1
"Fraser-Fort George F, British Columbia [CCS590553048]",0,1,0,1,0,0
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0
"Skeena-Queen Charlotte D, British Columbia [CCS590647027]",2,1,1,1,1,0
"Skeena-Queen Charlotte E, British Columbia [CCS590647032]",0,0,0,0,0,0
"Kitimat-Stikine C (Part 1), British Columbia [CCS590649013]",0,1,0,0,0,1
"Kitimat-Stikine B, British Columbia [CCS590649028]",2,1,2,1,0,0
"Kitimat-Stikine A, British Columbia [CCS590649039] (Terminated)",0t,..t,0t,..t,0t,..t
"Bulkley-Nechako C, British Columbia [CCS590751015]",0,0,0,0,0,0
"Bulkley-Nechako D, British Columbia [CCS590751017]",0,0,0,0,0,0
"Bulkley-Nechako F, British Columbia [CCS590751019]",0,0,0,0,0,0
"Bulkley-Nechako B, British Columbia [CCS590751028]",0,0,0,0,0,0
"Bulkley-Nechako E, British Columbia [CCS590751031]",0,0,0,0,0,0
"Bulkley-Nechako A, British Columbia [CCS590751051]",3,2,2,2,1,0
"Bulkley-Nechako G, British Columbia [CCS590751053]",0,0,0,0,0,0
"Stikine Region, British Columbia [CCS590757022]",..,0,..,0,..,0
"Peace River D, British Columbia [CCS590855021]",9,5,7,5,2,0
"Peace River E, British Columbia [CCS590855023]",3,5,2,4,1,1
"Peace River B, British Columbia [CCS590855040]",6,7,6,6,0,2
"Peace River C, British Columbia [CCS590855042]",2,1,2,0,0,1
"Northern Rockies, British Columbia [CCS590859007]",0,0,0,0,0,0
,,,,,,
Symbol legend:,,,,,,
.., not available for a specific reference period,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Footnotes:,,,,,,
1,"The nine-digit geographic code at the end of the geographic names comprises two digits for the province, two for the census agricultural region, two for the census division and three for the census consolidated subdivision. Reference maps provide the geographic boundaries, codes and names for all geographic areas appearing in the data tables. <a href=http://www.statcan.gc.ca/pub/95-630-x/95-630-x2017000-eng.htm"">2016 Reference maps</a> or <a href=""http://www.statcan.gc.ca/ca-ra2011/110006-eng.htm"">2011 Reference maps</a>.""",,,,,
2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the <a href=http://www.statcan.gc.ca/pub/95-630-x/2017000/geo-eng.htm"">2016 Geographic area amalgamations</a> or the <a href=""http://www.statcan.gc.ca/eng/ca2011/110005/geo"">2011 Geographic area amalgamations</a>.""",,,,,
3,"The Yukon, Northwest Territories and Nunavut are not included in Canada totals.",,,,,
4,The data for the Yukon are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,,,,
5,The data for the Northwest Territories are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,,,,
6,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,,,,
7,"Census agricultural regions are composed of groups of adjacent census divisions. Prior to 2016, in Saskatchewan, census agricultural regions were made up of groups of census consolidated subdivisions, but these groups did not necessarily respect census division boundaries.",,,,,
8,"The number of farms reporting"" does not equal the sum of the parts because farms reporting more than one category (or activity) are only counted once.""",,,,,
,,,,,,
,,,,,,
,,,,,,
"How to cite: Statistics Canada. Table 32-10-0414-01  Organic products, Census of Agriculture, 2011 and 2016",,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210041401,,,,,,
