Cattle and calves,Beef cows,,,,Dairy cows,,,
"Squamish-Lillooet D, British Columbia [CCS590231021] (Terminated)",20t,..t,xt,..t,2t,..t,xt,..t
"Squamish-Lillooet B, British Columbia [CCS590231034]",19,14,x,x,1,2,x,x
"Okanagan-Similkameen A, British Columbia [CCS590307022]",6,2,918,x,0,0,0,0
"Okanagan-Similkameen B, British Columbia [CCS590307026]",8,8,x,"1,016",3,0,x,0
"Okanagan-Similkameen C, British Columbia [CCS590307028]",18,14,x,x,1,1,x,x
"Okanagan-Similkameen D, British Columbia [CCS590307047]",14,15,650,x,0,1,0,x
"Okanagan-Similkameen E, British Columbia [CCS590307049]",4,1,85,x,0,0,0,0
"Okanagan-Similkameen F, British Columbia [CCS590307051]",10,10,677,x,0,1,0,x
"Okanagan-Similkameen G, British Columbia [CCS590307053]",10,13,x,x,1,1,x,x
"Okanagan-Similkameen H, British Columbia [CCS590307055]",27,24,"1,977","1,440",0,0,0,0
"Thompson-Nicola M (Beautiful Nicola Valley - North), British Columbia [CCS590333008]",21,26,"12,133","13,473",0,0,0,0
"Thompson-Nicola N (Beautiful Nicola Valley - South), British Columbia [CCS590333012]",32,25,x,x,1,2,x,x
"Thompson-Nicola E (Bonaparte Plateau), British Columbia [CCS590333032]",42,44,"2,317","10,204",0,0,0,0
"Thompson-Nicola I (Blue Sky Country), British Columbia [CCS590333037]",31,29,x,x,3,1,x,x
"Thompson-Nicola J (Copper Desert Country), British Columbia [CCS590333039]",17,21,"2,446","2,655",0,0,0,0
"Thompson-Nicola P (Rivers and the Peaks), British Columbia [CCS590333044]",63,88,x,x,2,4,x,x
"Thompson-Nicola L (Grasslands), British Columbia [CCS590333060]",136,117,"7,110",x,7,3,282,x
"Thompson-Nicola A (Wells Gray Country), British Columbia [CCS590333068]",18,22,x,x,1,2,x,x
"Thompson-Nicola B (Thompson Headwaters), British Columbia [CCS590333070]",0,1,0,x,0,0,0,0
"Thompson-Nicola O (Lower North Thompson), British Columbia [CCS590333072]",65,47,x,x,2,2,x,x
"Central Okanagan, British Columbia [CCS590335012]",39,40,x,"1,738",0,3,0,5
"Central Okanagan J, British Columbia [CCS590335020]",3,4,x,59,0,0,0,0
"North Okanagan B, British Columbia [CCS590337017]",44,39,x,x,1,1,x,x
"North Okanagan D, British Columbia [CCS590337022]",47,49,x,"2,873",8,8,x,530
"North Okanagan E, British Columbia [CCS590337023]",14,14,423,x,0,3,0,x
"Spallumcheen, British Columbia [CCS590337024]",53,59,"1,100","1,133",22,21,"2,370","3,520"
"North Okanagan F, British Columbia [CCS590337041]",38,32,639,316,32,28,"3,686","2,501"
"Columbia-Shuswap A, British Columbia [CCS590339011]",15,15,477,x,0,1,0,x
"Columbia-Shuswap C, British Columbia [CCS590339037]",29,23,284,276,9,5,"1,149",889
"Columbia-Shuswap D, British Columbia [CCS590339039]",84,64,"1,366","1,465",22,21,"1,960","2,042"
"Columbia-Shuswap E, British Columbia [CCS590339043]",8,11,x,x,2,2,x,x
"Columbia-Shuswap F, British Columbia [CCS590339044]",17,16,x,x,2,3,x,x
"East Kootenay A, British Columbia [CCS590401017]",22,22,615,391,0,0,0,0
"East Kootenay B, British Columbia [CCS590401019]",24,19,x,x,1,1,x,x
"East Kootenay C, British Columbia [CCS590401035]",40,37,"3,314","3,031",0,0,0,0
"East Kootenay E, British Columbia [CCS590401037]",12,10,x,374,1,0,x,0
"East Kootenay F, British Columbia [CCS590401046]",9,9,"1,246",x,0,1,0,x
"East Kootenay G, British Columbia [CCS590401048]",10,7,492,855,0,0,0,0
"Central Kootenay A, British Columbia [CCS590403010]",6,3,x,120,1,0,x,0
"Central Kootenay B, British Columbia [CCS590403013]",25,27,258,544,6,7,409,425
"Central Kootenay C, British Columbia [CCS590403017]",19,20,765,634,5,7,875,"1,073"
"Central Kootenay D, British Columbia [CCS590403039]",3,6,x,61,2,0,x,0
"Central Kootenay E, British Columbia [CCS590403041]",6,4,28,19,0,0,0,0
"Central Kootenay G, British Columbia [CCS590403047]",7,5,68,x,0,1,0,x
"Central Kootenay H, British Columbia [CCS590403052]",14,13,x,108,1,3,x,6
"Central Kootenay J, British Columbia [CCS590403058]",10,5,x,x,1,1,x,x
"Central Kootenay K, British Columbia [CCS590403060]",21,16,x,x,3,3,x,x
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",10,9,88,84,0,0,0,0
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",18,19,x,x,3,1,x,x
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",55,48,"2,675",x,3,2,3,x
"Cariboo D, British Columbia [CCS590541010]",26,38,x,"3,633",1,0,x,0
"Cariboo E, British Columbia [CCS590541012]",25,21,"1,821","1,779",0,0,0,0
"Cariboo F, British Columbia [CCS590541014]",107,106,x,"7,701",1,10,x,11
"Cariboo G, British Columbia [CCS590541015]",36,23,x,x,1,2,x,x
"Cariboo H, British Columbia [CCS590541016]",28,20,"1,278",x,0,1,0,x
"Cariboo L, British Columbia [CCS590541017]",42,37,"1,424","1,504",0,3,0,6
"Cariboo A, British Columbia [CCS590541019]",51,72,x,x,6,1,x,x
"Cariboo B, British Columbia [CCS590541021]",50,38,x,x,1,2,x,x
"Cariboo C, British Columbia [CCS590541026]",12,5,x,198,1,0,x,0
"Cariboo I, British Columbia [CCS590541027]",53,45,x,x,4,2,x,x
"Cariboo J, British Columbia [CCS590541039]",38,34,x,x,2,2,x,x
"Cariboo K, British Columbia [CCS590541041]",42,34,"10,481",x,0,1,0,x
"Fraser-Fort George H, British Columbia [CCS590553019]",58,56,x,x,7,8,x,x
"Fraser-Fort George A, British Columbia [CCS590553038]",38,31,x,x,1,1,x,x
"Fraser-Fort George C, British Columbia [CCS590553042]",47,56,"2,245",x,0,2,0,x
"Fraser-Fort George D, British Columbia [CCS590553044]",30,27,641,x,0,1,0,x
"Fraser-Fort George E, British Columbia [CCS590553046]",18,13,x,x,1,1,x,x
"Fraser-Fort George F, British Columbia [CCS590553048]",18,16,725,825,0,0,0,0
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0,0,0
"Skeena-Queen Charlotte D, British Columbia [CCS590647027]",2,2,x,x,2,1,x,x
"Skeena-Queen Charlotte E, British Columbia [CCS590647032]",0,0,0,0,0,0,0,0
"Kitimat-Stikine C (Part 1), British Columbia [CCS590649013]",9,8,x,54,1,2,x,x
"Kitimat-Stikine B, British Columbia [CCS590649028]",23,20,x,x,3,2,x,x
"Kitimat-Stikine A, British Columbia [CCS590649039] (Terminated)",0t,..t,0t,..t,0t,..t,0t,..t
"Bulkley-Nechako C, British Columbia [CCS590751015]",18,17,x,x,2,1,x,x
"Bulkley-Nechako D, British Columbia [CCS590751017]",39,38,"2,998",x,0,2,0,x
"Bulkley-Nechako F, British Columbia [CCS590751019]",142,145,x,x,6,13,x,x
"Bulkley-Nechako B, British Columbia [CCS590751028]",22,18,x,565,5,3,x,4
"Bulkley-Nechako E, British Columbia [CCS590751031]",56,53,"4,053","3,970",4,5,5,11
"Bulkley-Nechako A, British Columbia [CCS590751051]",77,72,"3,666","3,686",15,17,766,942
"Bulkley-Nechako G, British Columbia [CCS590751053]",32,33,x,"1,747",1,0,x,0
"Stikine Region, British Columbia [CCS590757022]",..,0,..,0,..,0,..,0
"Peace River D, British Columbia [CCS590855021]",165,147,"11,592","14,420",7,7,154,212
"Peace River E, British Columbia [CCS590855023]",97,106,x,"11,014",1,3,x,7
"Peace River B, British Columbia [CCS590855040]",254,236,"20,730","22,546",27,12,218,36
"Peace River C, British Columbia [CCS590855042]",46,34,"1,706","2,114",3,4,18,7
"Northern Rockies, British Columbia [CCS590859007]",6,6,x,834,1,0,x,0
,,,,,,,,
Symbol legend:,,,,,,,,
.., not available for a specific reference period,,,,,,,
x, suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Footnotes:,,,,,,,,
1,"The nine-digit geographic code at the end of the geographic names comprises two digits for the province, two for the census agricultural region, two for the census division and three for the census consolidated subdivision. Reference maps provide the geographic boundaries, codes and names for all geographic areas appearing in the data tables. <a href=http://www.statcan.gc.ca/pub/95-630-x/95-630-x2017000-eng.htm"">2016 Reference maps</a> or <a href=""http://www.statcan.gc.ca/ca-ra2011/110006-eng.htm"">2011 Reference maps</a>.""",,,,,,,
2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the <a href=http://www.statcan.gc.ca/pub/95-630-x/2017000/geo-eng.htm"">2016 Geographic area amalgamations</a> or the <a href=""http://www.statcan.gc.ca/eng/ca2011/110005/geo"">2011 Geographic area amalgamations</a>.""",,,,,,,
3,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,,,,,,
4,"Census agricultural regions are composed of groups of adjacent census divisions. Prior to 2016, in Saskatchewan, census agricultural regions were made up of groups of census consolidated subdivisions, but these groups did not necessarily respect census division boundaries.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"How to cite: Statistics Canada. Table 32-10-0424-01  Cattle inventory on farms, Census of Agriculture, 2011 and 2016",,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210042401,,,,,,,,
